time,connect,request 
0,26.686,144.402 
10,58.092,144.402 
20,58.092,144.402 
30,58.092,239.717 
40,58.092,299.437 
50,58.092,381.456 
60,58.092,381.456 
70,58.092,632.893 
80,58.092,1124.264 
90,58.092,2569.315 
100,58.092,4180.961 
110,58.092,4604.49 
120,58.092,5043.567 
130,58.092,5351.806 
140,58.092,5351.806 
150,58.092,6300.795 
160,58.092,6300.795 
170,58.092,6300.795 
180,58.092,6300.795 
190,58.092,6300.795 
200,58.092,6300.795 
210,58.092,6300.795 
220,58.092,6300.795 
230,58.092,6300.795 
240,58.092,6300.795 
250,58.092,6300.795 
260,58.092,6300.795 
270,58.092,6300.795 
280,58.092,6300.795 
