time,freemem@tsung_controller@ip-172-31-17-149 
0,3407.2890625 
10,3407.2890625 
20,3407.2890625 
30,3407.2890625 
40,3407.2890625 
50,3407.2890625 
60,3407.2890625 
70,3407.2890625 
80,3407.2890625 
90,3407.2890625 
100,3407.2890625 
110,3407.2890625 
120,3407.2890625 
130,3407.2890625 
140,3407.2890625 
150,3407.2890625 
160,3407.2890625 
170,3407.2890625 
180,3407.2890625 
190,3407.2890625 
200,3407.2890625 
210,3407.2890625 
220,3407.2890625 
230,3407.2890625 
240,3407.2890625 
250,3407.2890625 
260,3407.2890625 
270,3407.2890625 
280,3407.2890625 
